========================================================
       MARATHON 28,000,000 RUNS PERFORMANCE LOG         
========================================================
Run_Index	Scalar_ns	AVX2_ns	Speedup
242	150269	111676	1.35x
243	126626	113886	1.11x
244	126583	113488	1.12x
245	138227	111767	1.24x
246	126492	113675	1.11x
247	126452	113613	1.11x
248	126464	113392	1.12x
249	126350	113583	1.11x
250	126256	113961	1.11x
251	126770	113542	1.12x
252	126634	111519	1.14x
253	126382	111900	1.13x
254	126633	113535	1.12x
255	126482	111899	1.13x
256	126483	113713	1.11x
257	126376	149162	0.85x
258	126572	113742	1.11x
259	126494	113746	1.11x
260	126428	113612	1.11x
261	126386	113532	1.11x
262	126286	111758	1.13x
263	126423	111603	1.13x
264	126254	111557	1.13x
265	160256	112016	1.43x
266	126411	125429	1.01x
267	126631	111711	1.13x
268	126463	111789	1.13x
269	126551	112003	1.13x
270	126433	111684	1.13x
271	126371	113416	1.11x
272	126385	138994	0.91x
273	126705	111879	1.13x
274	126362	111763	1.13x
275	126407	113747	1.11x
276	126278	111747	1.13x
277	126233	111621	1.13x
278	140143	100373	1.40x
279	113808	102198	1.11x
280	113712	102214	1.11x
281	113854	100773	1.13x
282	113791	95586	1.19x
283	81325	71925	1.13x
284	81394	71911	1.13x
285	81237	73059	1.11x
286	81267	73105	1.11x
287	81137	73113	1.11x
288	81325	72722	1.12x
289	81246	73018	1.11x
290	81296	72961	1.11x
291	81248	71964	1.13x
292	97956	71911	1.36x
293	81381	73092	1.11x
294	81342	71794	1.13x
295	81233	72876	1.11x
296	81077	71845	1.13x
297	81314	72969	1.11x
298	81311	72885	1.12x
299	81155	71822	1.13x
300	81268	72905	1.11x
301	81273	72960	1.11x
302	81328	87665	0.93x
303	79930	70648	1.13x
304	79860	70628	1.13x
305	79832	70602	1.13x
306	79831	70612	1.13x
307	79727	70640	1.13x
308	79667	70808	1.13x
309	79836	71806	1.11x
310	79726	70657	1.13x
311	79723	72107	1.11x
312	79757	70686	1.13x
313	79674	72127	1.10x
314	79671	70849	1.12x
315	79704	189790	0.42x
316	81441	72883	1.12x
317	81338	71857	1.13x
318	81294	73112	1.11x
319	81285	72908	1.11x
320	81255	73042	1.11x
321	81204	73004	1.11x
322	81298	73029	1.11x
323	81313	72054	1.13x
324	81313	71828	1.13x
325	81355	71788	1.13x
326	81334	71750	1.13x
327	81348	73009	1.11x
328	81269	72913	1.11x
329	81283	72848	1.12x
330	81443	78039	1.04x
331	63218	56645	1.12x
332	63232	55965	1.13x
333	63270	55877	1.13x
334	63237	56743	1.11x
335	63278	55773	1.13x
336	63265	55796	1.13x
337	63207	56719	1.11x
338	63160	56708	1.11x
339	63260	56733	1.12x
340	63202	56703	1.11x
341	63231	55778	1.13x
342	63207	67959	0.93x
343	63355	56847	1.11x
344	63362	56028	1.13x
345	63139	56812	1.11x
346	63272	56843	1.11x
347	63376	56005	1.13x
348	63209	56765	1.11x
349	63227	56800	1.11x
350	63286	56849	1.11x
351	63071	55979	1.13x
352	63140	64247	0.98x
353	63315	55903	1.13x
354	63324	55777	1.14x
355	63259	55972	1.13x
356	81880	79661	1.03x
357	96011	94524	1.02x
358	78414	56047	1.40x
359	63318	56795	1.11x
360	63293	69250	0.91x
361	67315	55973	1.20x
362	63194	56724	1.11x
363	63236	56729	1.11x
364	63277	55905	1.13x
365	63212	55797	1.13x
366	63139	56746	1.11x
367	63166	56766	1.11x
368	63120	56724	1.11x
369	63136	56805	1.11x
